ActivityIdentifier,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Skor_SAW,Peringkat
nwisca.01.02001387,7.1,3.34,5.505,7.12,0.65,11.0,0.95,66.4,37.403660625,0.35922717531948023,70
CA_BVR-RED01:20210728:1002:FM:PS:0.412:Hydro,9.35,162.09405044510385,0.2134,7.12,65.86257217573221,0.3333,3.1233735705209655,66.4,40.1,0.35915515282646493,71
CA_BVR-SC2:20220503:1204:FM:PS:0.218:Hydro,9.05,162.09405044510385,0.2128,7.12,65.86257217573221,0.3324,3.1233735705209655,66.4,60.1,0.35886531490602697,72
nwisca.01.02206378,7.775573846153846,2.7,13.52,7.12,0.42,9.0,1.87,66.4,37.403660625,0.35882469054437266,73
CA_BVR-FC1:20210311:0747:FM:PS:0.026:Hydro,7.45,162.09405044510385,0.1145,7.12,65.86257217573221,0.1789,3.1233735705209655,66.4,11.1,0.35855650058384564,74
nwisca.01.02306453,6.9,2.47,4.005,7.12,0.32,8.0,1.61,66.4,37.403660625,0.3581508296784864,75
nwisca.01.02206380,7.775573846153846,3.28,246.45972997594052,7.12,0.66,11.0,1.26,66.4,37.403660625,0.3580970182982384,76
CA_BVR-KC1:20220401:1124:FM:PS:0.097:Hydro,7.86,162.09405044510385,0.1897,7.12,65.86257217573221,0.2964,3.1233735705209655,66.4,0.0,0.35764609849185136,77
CA_BVR-MC2:20220426:0934:FM:PS:0.204:Hydro,7.27,162.09405044510385,0.1711,7.12,65.86257217573221,0.2673,3.1233735705209655,66.4,0.0,0.3572398520417453,78
NARS_WQX-243940_2324,7.94,162.09405044510385,246.45972997594052,7.12,14.5,338.4017245542537,0.57,66.4,0.0,0.3570507739403662,79
nwisca.01.02306435,7.5,3.08,5.005,7.12,0.36,10.0,1.34,66.4,37.403660625,0.35680304110510835,80
CA_BVR-RED01:20210714:1020:FM:PS:0.142:Hydro,8.96,162.09405044510385,0.2431,7.12,65.86257217573221,0.3799,3.1233735705209655,66.4,314.6,0.3567458233191915,81
CA_BVR-RED01:20220711:1045:FM:PS:0.447:Hydro,9.26,162.09405044510385,0.2552,7.12,65.86257217573221,0.3987,3.1233735705209655,66.4,139.9,0.35668445109042896,82
nwisca.01.02002435,6.7,2.77,4.505,7.12,0.47,9.0,1.22,66.4,37.403660625,0.35661748708862795,83
CA_BVR-RED01:20210607:1119:FM:PS:0.354:Hydro,8.92,162.09405044510385,0.2326,7.12,65.86257217573221,0.3633,3.1233735705209655,66.4,123.0,0.35661665185754604,84
nwisca.01.02003713,7.3,4.9,7.51,7.12,0.64,16.0,0.76,66.4,37.403660625,0.3564995547862692,85
CA_BVR-AC4:20220216:1054:FM:PS:0.211:Hydro,7.6,162.09405044510385,0.1769,7.12,65.86257217573221,0.2764,3.1233735705209655,66.4,115.2,0.35614253281058095,86
nwisca.01.02003064,7.0,3.4,13.013333333333334,7.12,0.53,11.0,1.01,66.4,37.403660625,0.35571208832849494,87
CA_BVR-MC2:20220411:0819:FM:PS:0.172:Hydro,7.69,162.09405044510385,0.1923,7.12,65.86257217573221,0.3005,3.1233735705209655,66.4,0.0,0.3554793481303817,88
CA_BVR-MC2:20220421:1052:FM:PS:0.172:Hydro,7.69,162.09405044510385,0.1923,7.12,65.86257217573221,0.3005,3.1233735705209655,66.4,0.0,0.3554793481303817,88
CA_BVR-RED01:20210621:1109:FM:PS:0.201:Hydro,8.65,162.09405044510385,0.2399,7.12,65.86257217573221,0.3749,3.1233735705209655,66.4,0.0,0.35529307985348646,90
nwisca.01.02302296,7.5,7.21,14.676666666666668,7.12,0.89,23.0,0.67,66.4,37.403660625,0.35508973557759904,91
nwisca.01.02302295,7.5,7.23,14.676666666666668,7.12,0.72,24.0,0.67,66.4,37.403660625,0.35501590632177843,92
CA_BVR-RED01:20211026:1125:FM:PS:0.19:Hydro,8.15,162.09405044510385,0.195,7.12,65.86257217573221,0.3036,3.1233735705209655,66.4,66.7,0.3549971493190326,93
nwisca.01.02003063,7.0,3.46,5.005,7.12,0.47,12.0,1.01,66.4,37.403660625,0.35495342894393184,94
nwisca.01.02206371,7.775573846153846,4.33,246.45972997594052,7.12,0.6,14.0,1.0,66.4,37.403660625,0.3546747041456561,95
CA_BVR-RED01:20220920:1106:FM:PS:0.068:Hydro,8.87,162.09405044510385,0.2573,7.12,65.86257217573221,0.402,3.1233735705209655,66.4,543.3,0.35434981694947315,96
CA_BVR-MC2:20220308:0813:FM:PS:0.185:Hydro,7.25,162.09405044510385,0.1335,7.12,65.86257217573221,0.2086,3.1233735705209655,66.4,16.5,0.3542669871404687,97
CA_BVR-KC1:20220223:1249:FM:PS:0.156:Hydro,8.07,162.09405044510385,0.1183,7.12,65.86257217573221,0.2862,3.1233735705209655,66.4,40.1,0.354183068825612,98
nwisca.01.02306451,7.775573846153846,2.83,246.45972997594052,7.12,0.34,9.0,2.27,66.4,37.403660625,0.353732749382858,99
CA_BVR-AC3:20210325:1015:FM:PS:0.064:Hydro,7.95,162.09405044510385,0.212,7.12,65.86257217573221,0.3315,3.1233735705209655,66.4,0.0,0.3536427751897665,100
nwisca.01.02002746,6.9,2.61,4.005,7.12,0.33,8.0,1.77,66.4,37.403660625,0.353626606509072,101
nwisca.01.02105713,6.7,2.78,4.505,7.12,0.41,8.0,1.39,66.4,37.403660625,0.35355018732987303,102
CA_BVR-KC1:20220506:1130:FM:PS:0.114:Hydro,7.66,162.09405044510385,0.2012,7.12,65.86257217573221,0.3143,3.1233735705209655,66.4,0.0,0.35323452746997674,103
CA_BVR-RED01:20220614:0945:FM:PS:0.379:Hydro,9.0,162.09405044510385,0.2518,7.12,65.86257217573221,0.3934,3.1233735705209655,66.4,64.8,0.3524531856689283,104
NARS_WQX-243960_2324,8.0,162.09405044510385,246.45972997594052,7.12,9.95,338.4017245542537,0.63,66.4,0.0,0.3524500296554114,105
nwisca.01.02100311,7.5,11.8,23.683333333333334,7.12,0.53,45.0,0.61,66.4,37.403660625,0.3523810684655672,106
CA_BVR-RED01:20210223:1031:FM:PS:0.28:Hydro,8.58,162.09405044510385,0.2253,7.12,65.86257217573221,0.3521,3.1233735705209655,66.4,58.0,0.35215176887675004,107
nwisca.01.02201985,7.5,13.5,36.699999999999996,7.12,0.55,51.0,0.6,66.4,37.403660625,0.3518138659180186,108
CA_BVR-AC3:20220506:1207:FM:PS:0.143:Hydro,8.06,162.09405044510385,0.232,7.12,65.86257217573221,0.3625,3.1233735705209655,66.4,0.0,0.3511609465113455,109
CA_BVR-AC4:20220316:1257:FM:PS:0.131:Hydro,7.61,162.09405044510385,0.1914,7.12,65.86257217573221,0.299,3.1233735705209655,66.4,58.2,0.3501578145707193,110
nwisca.01.02100539,7.5,7.58,16.013333333333332,7.12,1.07,25.0,0.74,66.4,37.403660625,0.3498229456347305,111
nwisca.01.02105718,7.3,5.8,8.01,7.12,0.77,19.0,0.81,66.4,37.403660625,0.3497890853258377,112
CA_BVR-AC3:20220202:1231:FM:PS:0.141:Hydro,7.77,162.09405044510385,0.1937,7.12,65.86257217573221,0.3027,3.1233735705209655,66.4,45.7,0.3497423255316737,113
nwisca.01.02105725,8.2,61.2,73.38333333333334,7.12,0.12,149.0,0.61,66.4,37.403660625,0.34973151690394133,114
CA_BVR-KC1:20200302:0957:FM:PS:0.151:Hydro,7.53,162.09405044510385,0.1797,7.12,65.86257217573221,0.2792,3.1233735705209655,66.4,36.2,0.34970273300477006,115
CA_BVR-RED01:20220823:1207:FM:PS:0.154:Hydro,8.87,162.09405044510385,0.2977,7.12,65.86257217573221,0.4652,3.1233735705209655,66.4,403.3,0.34960929500195054,116
CA_BVR-RED01:20220510:1140:FM:PS:0.443:Hydro,8.72,162.09405044510385,0.2567,7.12,65.86257217573221,0.4012,3.1233735705209655,66.4,67.7,0.34942613916442583,117
CA_BVR-AC3:20220401:1212:FM:PS:0.132:Hydro,7.98,162.09405044510385,0.2391,7.12,65.86257217573221,0.3736,3.1233735705209655,66.4,0.0,0.3493274439974672,118
nwisca.01.02206382,7.775573846153846,6.75,246.45972997594052,7.12,0.79,24.0,0.85,66.4,37.403660625,0.34905210476005893,119
CA_BVR-DRY01:20220524:1213:FM:PS:0.143:Hydro,8.48,162.09405044510385,0.2774,7.12,65.86257217573221,0.4334,3.1233735705209655,66.4,0.0,0.3488881568609469,120
CA_BVR-DRY01:20220503:1019:FM:PS:0.129:Hydro,8.29,162.09405044510385,0.2632,7.12,65.86257217573221,0.4112,3.1233735705209655,66.4,0.0,0.34884219573374525,121
nwisca.01.02206372,7.4,5.75,8.51,7.12,0.73,19.0,0.86,66.4,37.403660625,0.34868039188851435,122
nwisca.01.02003739,7.3,6.72,8.51,7.12,0.64,25.0,0.77,66.4,37.403660625,0.3485560360886323,123
CA_BVR-AC4:20200109:1053:FM:PS:0.054:Hydro,7.38,162.09405044510385,0.1797,7.12,65.86257217573221,0.2825,3.1233735705209655,66.4,40.2,0.34854540409139545,124
CA_BVR-AC3:20220323:1029:FM:PS:0.154:Hydro,8.11,162.09405044510385,0.2336,7.12,65.86257217573221,0.365,3.1233735705209655,66.4,99.1,0.34852999644098015,125
CA_BVR-LC01:20211026:1210:FM:PS:0.382:Hydro,8.48,162.09405044510385,0.2616,7.12,65.86257217573221,0.4068,3.1233735705209655,66.4,102.5,0.348187905592094,126
nwisca.01.02308111,7.4,5.19,7.51,7.12,0.64,17.0,0.94,66.4,37.403660625,0.34813104776798826,127
CA_BVR-RED01:20211012:1137:FM:PS:0.5:Hanna,8.6,162.09405044510385,0.198,7.12,65.86257217573221,0.395,3.1233735705209655,66.4,54.6,0.3478691915879625,128
CA_BVR-FC2:20210329:1011:FM:PS:0.044:Hydro,7.73,162.09405044510385,0.204,7.12,65.86257217573221,0.3187,3.1233735705209655,66.4,51.5,0.34783141369741244,129
nwisca.01.02306452,7.2,2.91,5.005,7.12,0.32,9.0,2.19,66.4,37.403660625,0.347745677196273,130
nwisca.01.02003999,7.3,8.22,10.515,7.12,0.64,32.0,0.72,66.4,37.403660625,0.3477208637086937,131
POMO989_WQX-HAB:SHADY01:7212020:1003:F,8.72,162.09405044510385,0.2103,7.12,65.86257217573221,0.3285,3.1233735705209655,66.4,21.0195,0.34766984975157517,132
nwisca.01.02002487,6.9,2.63,4.505,7.12,0.32,9.0,2.59,66.4,37.403660625,0.3475549265132715,133
CA_BVR-LC01:20210513:1113:FM:PS:0.415:Hydro,8.86,162.09405044510385,0.2284,7.12,65.86257217573221,0.3594,3.1233735705209655,66.4,25.0,0.34753482743095554,134
nwisca.01.02102876,7.0,3.47,6.01,7.12,0.63,12.0,1.33,66.4,37.403660625,0.34750907955970844,135
CA_BVR-AC4:20210329:1036:FM:PS:0.066:Hydro,7.59,162.09405044510385,0.2288,7.12,65.86257217573221,0.3576,3.1233735705209655,66.4,0.0,0.3473984043809464,136
CA_BVR-NFORK01:20220912:1158:FM:PS:0.176:Hydro,8.33,162.09405044510385,0.2803,7.12,65.86257217573221,0.438,3.1233735705209655,66.4,0.0,0.34719745701076576,137
nwisca.01.02002651,6.9,2.77,4.505,7.12,0.3,10.0,2.21,66.4,37.403660625,0.3469764521845093,138
CA_BVR-AC2:20220426:1045:FM:PS:0.144:Hydro,7.8,162.09405044510385,0.2446,7.12,65.86257217573221,0.3822,3.1233735705209655,66.4,0.0,0.34687817844197644,139
nwisca.01.02106574,8.3,61.9,74.38333333333334,7.12,0.13,147.0,0.66,66.4,37.403660625,0.3467929223938326,140
CA_BVR-AC4:20220426:1224:FM:PS:0.113:Hydro,7.53,162.09405044510385,0.2294,7.12,65.86257217573221,0.3584,3.1233735705209655,66.4,0.0,0.3467687014234593,141
CA_BVR-AC4:20220421:1224:FM:PS:0.113:Hydro,7.53,162.09405044510385,0.2294,7.12,65.86257217573221,0.3584,3.1233735705209655,66.4,0.0,0.3467687014234593,141
CA_BVR-LC01:20220726:1034:FM:PS:0.474:Hydro,8.9,162.09405044510385,0.2632,7.12,65.86257217573221,0.4113,3.1233735705209655,66.4,35.8,0.3465444743342796,143
CA_BVR-SHC2:20220524:1311:FM:PS:0.283:Hydro,8.14,162.09405044510385,0.1651,7.12,65.86257217573221,0.258,3.1233735705209655,66.4,13.7,0.34649461672397,144
CA_BVR-AC3:20220411:1004:FM:PS:0.216:Hydro,7.59,162.09405044510385,0.2361,7.12,65.86257217573221,0.369,3.1233735705209655,66.4,0.0,0.3462323515627001,145
nwisca.01.02203570,7.775573846153846,3.51,10.515,7.12,0.38,13.0,2.02,66.4,37.403660625,0.34614019116411787,146
CA_BVR-KC1:20220308:1105:FM:PS:0.093:Hydro,7.99,162.09405044510385,0.1936,7.12,65.86257217573221,0.3025,3.1233735705209655,66.4,23.8,0.34612394695917353,147
CA_BVR-AC4:20220411:1027:FM:PS:0.177:Hydro,7.22,162.09405044510385,0.218,7.12,65.86257217573221,0.3406,3.1233735705209655,66.4,0.0,0.3459186080233002,148
POMO989_WQX-HAB:SHADY01:772020:1052:F,8.77,162.09405044510385,0.2102,7.12,65.86257217573221,0.3286,3.1233735705209655,66.4,18.0275,0.3458970811496619,149
CA_BVR-LC01:20220907:1015:FM:PS:0.333:Hydro,9.01,162.09405044510385,0.2727,7.12,65.86257217573221,0.4262,3.1233735705209655,66.4,31.3,0.3452707762351025,150
POMO989_WQX-HAB:SHADY01:202068:1130:F,7.79,162.09405044510385,0.223,7.12,65.86257217573221,0.3488,3.1233735705209655,66.4,57.01,0.34524863569101094,151
CA_BVR-RED01:20210825:0927:FM:PS:0.187:Hydro,8.91,162.09405044510385,0.254,7.12,65.86257217573221,0.398,3.1233735705209655,66.4,26.7,0.3450615581143218,152
CA_BVR-RED01:20210517:1026:FM:PS:0.348:Hydro,8.56,162.09405044510385,0.2319,7.12,65.86257217573221,0.3624,3.1233735705209655,66.4,26.3,0.3450512758524242,153
CA_BVR-RED01:20210322:1107:FM:PS:0.246:Hydro,8.38,162.09405044510385,0.2005,7.12,65.86257217573221,0.3132,3.1233735705209655,66.4,18.8,0.3450105909380039,154
nwisca.01.02004212,8.4,58.5,68.04666666666667,7.12,0.12,145.0,0.71,66.4,37.403660625,0.3445377348231081,155
CA_BVR-AC4:20220401:1231:FM:PS:0.075:Hydro,7.22,162.09405044510385,0.2122,7.12,65.86257217573221,0.3316,3.1233735705209655,66.4,104.3,0.3443047756042212,156
CA_BVR-AC3:20200211:1057:FM:PS:0.152:Hydro,7.62,162.09405044510385,0.1717,7.12,65.86257217573221,0.2683,3.1233735705209655,66.4,17.1,0.34382996231946633,157
nwisca.01.02401960,7.9,9.52,22.016666666666666,7.12,0.58,34.0,0.87,66.4,37.403660625,0.34363709283072724,158
CA_BVR-AC3:20220126:1054:FM:PS:0.287:Hydro,7.68,162.09405044510385,0.1744,7.12,65.86257217573221,0.2726,3.1233735705209655,66.4,17.1,0.3435818944858974,159
CA_BVR-MC1:20200302:0925:FM:PS:0.012:Hydro,7.59,162.09405044510385,0.2024,7.12,65.86257217573221,0.3192,3.1233735705209655,66.4,32.0,0.34317332537680856,160
nwisca.01.02106576,7.5,12.3,23.349999999999998,7.12,0.57,46.0,0.74,66.4,37.403660625,0.3430610014917746,161
CA_BVR-FC3:20220617:0902:FM:PS:0.293:Hydro,6.92,162.09405044510385,0.2188,7.12,65.86257217573221,0.3419,3.1233735705209655,66.4,0.0,0.3430406618032648,162
CA_BVR-AC3:20220421:1200:FM:PS:0.089:Hydro,7.6,162.09405044510385,0.2375,7.12,65.86257217573221,0.3712,3.1233735705209655,66.4,87.5,0.34290076318174406,163
CA_BVR-AC3:20220426:1200:FM:PS:0.18:Hydro,7.6,162.09405044510385,0.2375,7.12,65.86257217573221,0.3712,3.1233735705209655,66.4,87.5,0.34290076318174406,163
nwisca.01.02203158,7.775573846153846,3.75,10.015,7.12,0.39,13.0,2.18,66.4,37.403660625,0.3426744401119484,165
CA_BVR-AC4:20220223:1358:FM:PS:0.213:Hydro,7.7,162.09405044510385,0.1781,7.12,65.86257217573221,0.2787,3.1233735705209655,66.4,16.9,0.3424859003076384,166
POMO989_WQX-HAB:SHADY01:842020:0952:F,9.1,162.09405044510385,0.2074,7.12,65.86257217573221,0.3243,3.1233735705209655,66.4,12.434,0.34244214782102017,167
CA_BVR-LC01:20210825:1010:FM:PS:0.48:Hydro,8.55,162.09405044510385,0.2579,7.12,65.86257217573221,0.4027,3.1233735705209655,66.4,28.2,0.34195184521681043,168
nwisca.01.02004213,7.6,69.1,32.68,7.12,0.7,43.0,0.64,66.4,37.403660625,0.3418930449122745,169
nwisca.01.02203569,7.775573846153846,3.72,246.45972997594052,7.12,0.34,14.0,2.35,66.4,37.403660625,0.3418549975765884,170
nwisca.01.02105724,8.3,63.9,76.05333333333333,7.12,0.12,148.0,0.74,66.4,37.403660625,0.34168218153986546,171
CA_BVR-FC2:20220426:1006:FM:PS:0.129:Hydro,7.54,162.09405044510385,0.2662,7.12,65.86257217573221,0.4159,3.1233735705209655,66.4,0.0,0.34165308295902364,172
CA_BVR-AC3:20220308:1148:FM:PS:0.039:Hydro,7.86,162.09405044510385,0.2322,7.12,65.86257217573221,0.3627,3.1233735705209655,66.4,36.2,0.3415736148342201,173
